RunID,RunTime,Type,QuestionID,Question,ModelName,Parsed,OK,Note
20250901-114521,2025-09-01 11:46:52 +0300,numeric,14333,How old will the oldest living person be in 2100?,GPT-5-Thinking,"{""P10"": 10.0, ""P20"": 20.0, ""P40"": 40.0, ""P50"": 50.0, ""P60"": 60.0, ""P80"": 80.0, ""P90"": 90.0}",0,fallback_default
20250901-114521,2025-09-01 11:46:52 +0300,numeric,14333,How old will the oldest living person be in 2100?,Gemini,"{""P10"": 117.0, ""P20"": 119.0, ""P40"": 121.0, ""P60"": 124.0, ""P80"": 127.0, ""P90"": 130.0}",1,
20250901-114521,2025-09-01 11:46:52 +0300,numeric,14333,How old will the oldest living person be in 2100?,Grok,"{""P10"": 10.0, ""P20"": 20.0, ""P40"": 40.0, ""P50"": 50.0, ""P60"": 60.0, ""P80"": 80.0, ""P90"": 90.0}",0,fallback_default
20250901-114521,2025-09-01 11:47:57 +0300,multiple_choice,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",GPT-5-Thinking,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",0,fallback_equal
20250901-114521,2025-09-01 11:47:57 +0300,multiple_choice,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",Gemini,"[0.35, 0.45, 0.15, 0.04, 0.01, 0.0]",1,
20250901-114521,2025-09-01 11:47:57 +0300,multiple_choice,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",Grok,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",0,fallback_equal
20250901-114521,2025-09-01 11:48:40 +0300,discrete,38880,How many major US labor strikes with generative AI as one of their main reasons will start in 2029?,GPT-5-Thinking,"{""P10"": 10.0, ""P20"": 20.0, ""P40"": 40.0, ""P50"": 50.0, ""P60"": 60.0, ""P80"": 80.0, ""P90"": 90.0}",0,fallback_default
20250901-114521,2025-09-01 11:48:40 +0300,discrete,38880,How many major US labor strikes with generative AI as one of their main reasons will start in 2029?,Gemini,"{""P10"": 1.0, ""P20"": 1.0, ""P40"": 2.0, ""P60"": 3.0, ""P80"": 5.0, ""P90"": 7.0}",1,
20250901-114521,2025-09-01 11:48:40 +0300,discrete,38880,How many major US labor strikes with generative AI as one of their main reasons will start in 2029?,Grok,"{""P10"": 10.0, ""P20"": 20.0, ""P40"": 40.0, ""P50"": 50.0, ""P60"": 60.0, ""P80"": 80.0, ""P90"": 90.0}",0,fallback_default
20250901-124709,2025-09-01 12:47:10 +0300,binary,578,Will humans go extinct before 2100?,GPT-5-Thinking,0.030000,1,
20250901-124709,2025-09-01 12:47:10 +0300,binary,578,Will humans go extinct before 2100?,Gemini,,0,parse_failed
20250901-124709,2025-09-01 12:47:10 +0300,binary,578,Will humans go extinct before 2100?,Grok,0.050000,1,
20250901-124709,2025-09-01 12:49:37 +0300,numeric,14333,How old will the oldest living person be in 2100?,GPT-5-Thinking,"{""P10"": 116.0, ""P20"": 119.0, ""P40"": 123.0, ""P60"": 128.0, ""P80"": 136.0, ""P90"": 146.0}",1,
20250901-124709,2025-09-01 12:49:37 +0300,numeric,14333,How old will the oldest living person be in 2100?,Gemini,"{""P10"": 117.0, ""P20"": 119.0, ""P40"": 122.0, ""P60"": 124.0, ""P80"": 128.0, ""P90"": 135.0}",1,
20250901-124709,2025-09-01 12:49:37 +0300,numeric,14333,How old will the oldest living person be in 2100?,Grok,"{""P10"": 10.0, ""P20"": 20.0, ""P40"": 40.0, ""P50"": 50.0, ""P60"": 60.0, ""P80"": 80.0, ""P90"": 90.0}",0,fallback_default
20250901-124709,2025-09-01 12:51:37 +0300,multiple_choice,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",GPT-5-Thinking,"[0.5599999999999999, 0.33999999999999997, 0.06999999999999999, 0.019999999999999997, 0.009999999999999998, 0.0]",1,
20250901-124709,2025-09-01 12:51:37 +0300,multiple_choice,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",Gemini,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",0,fallback_equal
20250901-124709,2025-09-01 12:51:37 +0300,multiple_choice,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",Grok,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",0,fallback_equal
20250901-124709,2025-09-01 12:52:32 +0300,discrete,38880,How many major US labor strikes with generative AI as one of their main reasons will start in 2029?,GPT-5-Thinking,"{""P10"": 10.0, ""P20"": 20.0, ""P40"": 40.0, ""P50"": 50.0, ""P60"": 60.0, ""P80"": 80.0, ""P90"": 90.0}",0,fallback_default
20250901-124709,2025-09-01 12:52:32 +0300,discrete,38880,How many major US labor strikes with generative AI as one of their main reasons will start in 2029?,Gemini,"{""P10"": 10.0, ""P20"": 20.0, ""P40"": 40.0, ""P50"": 50.0, ""P60"": 60.0, ""P80"": 80.0, ""P90"": 90.0}",0,fallback_default
20250901-124709,2025-09-01 12:52:32 +0300,discrete,38880,How many major US labor strikes with generative AI as one of their main reasons will start in 2029?,Grok,"{""P10"": 10.0, ""P20"": 20.0, ""P40"": 40.0, ""P50"": 50.0, ""P60"": 60.0, ""P80"": 80.0, ""P90"": 90.0}",0,fallback_default
20250901-131942,2025-09-01 13:19:43 +0300,binary,578,Will humans go extinct before 2100?,GPT-5-Thinking,0.020000,1,
20250901-131942,2025-09-01 13:19:43 +0300,binary,578,Will humans go extinct before 2100?,Gemini,0.040000,1,
20250901-131942,2025-09-01 13:19:43 +0300,binary,578,Will humans go extinct before 2100?,Grok,0.190000,1,
20250901-131942,2025-09-01 13:22:02 +0300,numeric,14333,How old will the oldest living person be in 2100?,GPT-5-Thinking,"{""P10"": 118.0, ""P20"": 120.0, ""P40"": 123.0, ""P60"": 126.0, ""P80"": 130.0, ""P90"": 134.0}",1,
20250901-131942,2025-09-01 13:22:02 +0300,numeric,14333,How old will the oldest living person be in 2100?,Gemini,"{""P10"": 117.0, ""P20"": 119.0, ""P40"": 122.0, ""P60"": 126.0, ""P80"": 130.0, ""P90"": 136.0}",1,
20250901-131942,2025-09-01 13:22:02 +0300,numeric,14333,How old will the oldest living person be in 2100?,Grok,"{""P10"": 122.0, ""P20"": 125.0, ""P40"": 128.0, ""P60"": 132.0, ""P80"": 140.0, ""P90"": 160.0}",1,
20250901-131942,2025-09-01 13:24:38 +0300,multiple_choice,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",GPT-5-Thinking,"[0.44, 0.4, 0.12, 0.03, 0.01, 0.0]",1,
20250901-131942,2025-09-01 13:24:38 +0300,multiple_choice,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",Gemini,"[0.35, 0.45, 0.15, 0.03, 0.01, 0.01]",1,
20250901-131942,2025-09-01 13:24:38 +0300,multiple_choice,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",Grok,"[0.15, 0.3, 0.25, 0.15, 0.1, 0.05]",1,
20250901-131942,2025-09-01 13:25:44 +0300,discrete,38880,How many major US labor strikes with generative AI as one of their main reasons will start in 2029?,GPT-5-Thinking,"{""P10"": 0.0, ""P20"": 0.0, ""P40"": 1.0, ""P60"": 1.0, ""P80"": 2.0, ""P90"": 3.0}",1,
20250901-131942,2025-09-01 13:25:44 +0300,discrete,38880,How many major US labor strikes with generative AI as one of their main reasons will start in 2029?,Gemini,"{""P10"": 10.0, ""P20"": 20.0, ""P40"": 40.0, ""P50"": 50.0, ""P60"": 60.0, ""P80"": 80.0, ""P90"": 90.0}",0,fallback_default
20250901-131942,2025-09-01 13:25:44 +0300,discrete,38880,How many major US labor strikes with generative AI as one of their main reasons will start in 2029?,Grok,"{""P10"": 0.0, ""P20"": 1.0, ""P40"": 1.0, ""P60"": 2.0, ""P80"": 3.0, ""P90"": 4.0}",1,
20250901-151653,2025-09-01 15:16:55 +0300,binary,578,Will humans go extinct before 2100?,GPT-5-Thinking,0.040000,1,
20250901-151653,2025-09-01 15:16:55 +0300,binary,578,Will humans go extinct before 2100?,Gemini,0.060000,1,
20250901-151653,2025-09-01 15:16:55 +0300,binary,578,Will humans go extinct before 2100?,Grok,0.010000,1,
20250901-151653,2025-09-01 15:18:41 +0300,numeric,14333,How old will the oldest living person be in 2100?,GPT-5-Thinking,"{""P10"": 118.0, ""P20"": 120.0, ""P40"": 122.0, ""P60"": 125.0, ""P80"": 129.0, ""P90"": 133.0}",1,
20250901-151653,2025-09-01 15:18:41 +0300,numeric,14333,How old will the oldest living person be in 2100?,Gemini,"{""P10"": 10.0, ""P20"": 20.0, ""P40"": 40.0, ""P50"": 50.0, ""P60"": 60.0, ""P80"": 80.0, ""P90"": 90.0}",0,fallback_default
20250901-151653,2025-09-01 15:18:41 +0300,numeric,14333,How old will the oldest living person be in 2100?,Grok,"{""P10"": 10.0, ""P20"": 20.0, ""P40"": 40.0, ""P50"": 50.0, ""P60"": 60.0, ""P80"": 80.0, ""P90"": 90.0}",0,fallback_default
20250901-151653,2025-09-01 15:21:42 +0300,multiple_choice,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",GPT-5-Thinking,"[0.68, 0.26, 0.05, 0.008, 0.001, 0.001]",1,
20250901-151653,2025-09-01 15:21:42 +0300,multiple_choice,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",Gemini,"[0.35, 0.45, 0.15, 0.04, 0.01, 0.0]",1,
20250901-151653,2025-09-01 15:21:42 +0300,multiple_choice,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",Grok,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",0,fallback_equal
20250901-151653,2025-09-01 15:22:57 +0300,discrete,38880,How many major US labor strikes with generative AI as one of their main reasons will start in 2029?,GPT-5-Thinking,"{""P10"": 0.0, ""P20"": 1.0, ""P40"": 2.0, ""P60"": 3.0, ""P80"": 4.0, ""P90"": 5.0}",1,
20250901-151653,2025-09-01 15:22:57 +0300,discrete,38880,How many major US labor strikes with generative AI as one of their main reasons will start in 2029?,Gemini,"{""P10"": 10.0, ""P20"": 20.0, ""P40"": 40.0, ""P50"": 50.0, ""P60"": 60.0, ""P80"": 80.0, ""P90"": 90.0}",0,fallback_default
20250901-151653,2025-09-01 15:22:57 +0300,discrete,38880,How many major US labor strikes with generative AI as one of their main reasons will start in 2029?,Grok,"{""P10"": 10.0, ""P20"": 20.0, ""P40"": 40.0, ""P50"": 50.0, ""P60"": 60.0, ""P80"": 80.0, ""P90"": 90.0}",0,fallback_default
20250901-160905,2025-09-01 16:09:06 +0300,binary,578,Will humans go extinct before 2100?,GPT-5-Thinking,0.040000,1,
20250901-160905,2025-09-01 16:09:06 +0300,binary,578,Will humans go extinct before 2100?,Gemini,0.040000,1,
20250901-160905,2025-09-01 16:09:06 +0300,binary,578,Will humans go extinct before 2100?,Grok,0.030000,1,
20250901-160905,2025-09-01 16:11:14 +0300,numeric,14333,How old will the oldest living person be in 2100?,GPT-5-Thinking,"{""P10"": 114.0, ""P20"": 115.0, ""P40"": 118.0, ""P60"": 121.0, ""P80"": 125.0, ""P90"": 129.0}",1,
20250901-160905,2025-09-01 16:11:14 +0300,numeric,14333,How old will the oldest living person be in 2100?,Gemini,"{""P10"": 10.0, ""P20"": 20.0, ""P40"": 40.0, ""P50"": 50.0, ""P60"": 60.0, ""P80"": 80.0, ""P90"": 90.0}",0,fallback_default
20250901-160905,2025-09-01 16:11:14 +0300,numeric,14333,How old will the oldest living person be in 2100?,Grok,"{""P10"": 10.0, ""P20"": 20.0, ""P40"": 40.0, ""P50"": 50.0, ""P60"": 60.0, ""P80"": 80.0, ""P90"": 90.0}",0,fallback_default
20250901-160905,2025-09-01 16:14:15 +0300,multiple_choice,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",GPT-5-Thinking,"[0.58, 0.34, 0.06, 0.012, 0.005, 0.003]",1,
20250901-160905,2025-09-01 16:14:15 +0300,multiple_choice,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",Gemini,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",0,fallback_equal
20250901-160905,2025-09-01 16:14:15 +0300,multiple_choice,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",Grok,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",0,fallback_equal
20250901-160905,2025-09-01 16:15:13 +0300,discrete,38880,How many major US labor strikes with generative AI as one of their main reasons will start in 2029?,GPT-5-Thinking,"{""P10"": 0.0, ""P20"": 0.0, ""P40"": 0.0, ""P60"": 0.0, ""P80"": 1.0, ""P90"": 2.0}",1,
20250901-160905,2025-09-01 16:15:13 +0300,discrete,38880,How many major US labor strikes with generative AI as one of their main reasons will start in 2029?,Gemini,"{""P10"": 10.0, ""P20"": 20.0, ""P40"": 40.0, ""P50"": 50.0, ""P60"": 60.0, ""P80"": 80.0, ""P90"": 90.0}",0,fallback_default
20250901-160905,2025-09-01 16:15:13 +0300,discrete,38880,How many major US labor strikes with generative AI as one of their main reasons will start in 2029?,Grok,"{""P10"": 10.0, ""P20"": 20.0, ""P40"": 40.0, ""P50"": 50.0, ""P60"": 60.0, ""P80"": 80.0, ""P90"": 90.0}",0,fallback_default
20250901-162059,2025-09-01 16:21:00 +0300,binary,578,Will humans go extinct before 2100?,GPT-5-Thinking,0.040000,1,
20250901-162059,2025-09-01 16:21:00 +0300,binary,578,Will humans go extinct before 2100?,Gemini,,0,parse_failed
20250901-162059,2025-09-01 16:21:00 +0300,binary,578,Will humans go extinct before 2100?,Grok,0.050000,1,
20250901-162059,2025-09-01 16:22:33 +0300,numeric,14333,How old will the oldest living person be in 2100?,GPT-5-Thinking,"{""P10"": 116.0, ""P20"": 118.0, ""P40"": 121.0, ""P60"": 124.0, ""P80"": 128.0, ""P90"": 133.0}",1,
20250901-162059,2025-09-01 16:22:33 +0300,numeric,14333,How old will the oldest living person be in 2100?,Gemini,"{""P10"": 10.0, ""P20"": 20.0, ""P40"": 40.0, ""P50"": 50.0, ""P60"": 60.0, ""P80"": 80.0, ""P90"": 90.0}",0,fallback_default
20250901-162059,2025-09-01 16:22:33 +0300,numeric,14333,How old will the oldest living person be in 2100?,Grok,"{""P10"": 10.0, ""P20"": 20.0, ""P40"": 40.0, ""P50"": 50.0, ""P60"": 60.0, ""P80"": 80.0, ""P90"": 90.0}",0,fallback_default
20250901-162059,2025-09-01 16:25:34 +0300,multiple_choice,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",GPT-5-Thinking,"[0.3, 0.45, 0.18, 0.05, 0.015, 0.005]",1,
20250901-162059,2025-09-01 16:25:34 +0300,multiple_choice,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",Gemini,"[0.35, 0.45, 0.15, 0.03, 0.01, 0.01]",1,
20250901-162059,2025-09-01 16:25:34 +0300,multiple_choice,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",Grok,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",0,fallback_equal
20250901-162059,2025-09-01 16:26:57 +0300,discrete,38880,How many major US labor strikes with generative AI as one of their main reasons will start in 2029?,GPT-5-Thinking,"{""P10"": 0.0, ""P20"": 0.0, ""P40"": 1.0, ""P60"": 1.0, ""P80"": 2.0, ""P90"": 2.0}",1,
20250901-162059,2025-09-01 16:26:57 +0300,discrete,38880,How many major US labor strikes with generative AI as one of their main reasons will start in 2029?,Gemini,"{""P10"": 0.0, ""P20"": 1.0, ""P40"": 2.0, ""P60"": 3.0, ""P80"": 5.0, ""P90"": 7.0}",1,
20250901-162059,2025-09-01 16:26:57 +0300,discrete,38880,How many major US labor strikes with generative AI as one of their main reasons will start in 2029?,Grok,"{""P10"": 10.0, ""P20"": 20.0, ""P40"": 40.0, ""P50"": 50.0, ""P60"": 60.0, ""P80"": 80.0, ""P90"": 90.0}",0,fallback_default
20250901-172824,2025-09-01 17:28:25 +0300,binary,578,Will humans go extinct before 2100?,GPT-5-Thinking,0.060000,1,
20250901-172824,2025-09-01 17:28:25 +0300,binary,578,Will humans go extinct before 2100?,Gemini,0.090000,1,
20250901-172824,2025-09-01 17:28:25 +0300,binary,578,Will humans go extinct before 2100?,Grok,0.030000,1,
20250901-172824,2025-09-01 17:30:40 +0300,numeric,14333,How old will the oldest living person be in 2100?,GPT-5-Thinking,"{""P10"": 10.0, ""P20"": 20.0, ""P40"": 40.0, ""P50"": 50.0, ""P60"": 60.0, ""P80"": 80.0, ""P90"": 90.0}",0,fallback_default
20250901-172824,2025-09-01 17:30:40 +0300,numeric,14333,How old will the oldest living person be in 2100?,Gemini,"{""P10"": 115.0, ""P20"": 117.0, ""P40"": 118.0, ""P60"": 120.0, ""P80"": 124.0, ""P90"": 128.0}",1,
20250901-172824,2025-09-01 17:30:40 +0300,numeric,14333,How old will the oldest living person be in 2100?,Grok,"{""P10"": 10.0, ""P20"": 20.0, ""P40"": 40.0, ""P50"": 50.0, ""P60"": 60.0, ""P80"": 80.0, ""P90"": 90.0}",0,fallback_default
20250901-172824,2025-09-01 17:33:41 +0300,multiple_choice,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",GPT-5-Thinking,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",0,fallback_equal
20250901-172824,2025-09-01 17:33:41 +0300,multiple_choice,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",Gemini,"[0.55, 0.35, 0.07, 0.02, 0.01, 0.0]",1,
20250901-172824,2025-09-01 17:33:41 +0300,multiple_choice,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",Grok,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",0,fallback_equal
20250901-172824,2025-09-01 17:35:17 +0300,discrete,38880,How many major US labor strikes with generative AI as one of their main reasons will start in 2029?,GPT-5-Thinking,"{""P10"": 10.0, ""P20"": 20.0, ""P40"": 40.0, ""P50"": 50.0, ""P60"": 60.0, ""P80"": 80.0, ""P90"": 90.0}",0,fallback_default
20250901-172824,2025-09-01 17:35:17 +0300,discrete,38880,How many major US labor strikes with generative AI as one of their main reasons will start in 2029?,Gemini,"{""P10"": 1.0, ""P20"": 2.0, ""P40"": 3.0, ""P60"": 4.0, ""P80"": 6.0, ""P90"": 8.0}",1,
20250901-172824,2025-09-01 17:35:17 +0300,discrete,38880,How many major US labor strikes with generative AI as one of their main reasons will start in 2029?,Grok,"{""P10"": 10.0, ""P20"": 20.0, ""P40"": 40.0, ""P50"": 50.0, ""P60"": 60.0, ""P80"": 80.0, ""P90"": 90.0}",0,fallback_default
20250902-103831,2025-09-02 10:38:33 +0300,binary,578,Will humans go extinct before 2100?,GPT-5-Thinking,0.100000,1,
20250902-103831,2025-09-02 10:38:33 +0300,binary,578,Will humans go extinct before 2100?,Gemini,,0,parse_failed
20250902-103831,2025-09-02 10:38:33 +0300,binary,578,Will humans go extinct before 2100?,Grok,0.080000,1,
20250902-103831,2025-09-02 10:39:08 +0300,numeric,14333,How old will the oldest living person be in 2100?,GPT-5-Thinking,"{""P10"": 116.0, ""P20"": 118.0, ""P40"": 120.0, ""P60"": 122.0, ""P80"": 124.0, ""P90"": 126.0}",1,
20250902-103831,2025-09-02 10:39:08 +0300,numeric,14333,How old will the oldest living person be in 2100?,Gemini,"{""P10"": 116.0, ""P20"": 118.0, ""P40"": 120.0, ""P60"": 123.0, ""P80"": 128.0, ""P90"": 134.0}",1,
20250902-103831,2025-09-02 10:39:08 +0300,numeric,14333,How old will the oldest living person be in 2100?,Grok,"{""P10"": 10.0, ""P20"": 20.0, ""P40"": 40.0, ""P50"": 50.0, ""P60"": 60.0, ""P80"": 80.0, ""P90"": 90.0}",0,fallback_default
20250902-103831,2025-09-02 10:42:09 +0300,multiple_choice,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",GPT-5-Thinking,"[0.35, 0.39, 0.15, 0.07, 0.03, 0.01]",1,
20250902-103831,2025-09-02 10:42:09 +0300,multiple_choice,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",Gemini,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",0,fallback_equal
20250902-103831,2025-09-02 10:42:09 +0300,multiple_choice,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",Grok,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",0,fallback_equal
20250902-103831,2025-09-02 10:42:36 +0300,discrete,38880,How many major US labor strikes with generative AI as one of their main reasons will start in 2029?,GPT-5-Thinking,"{""P10"": 2.0, ""P20"": 3.0, ""P40"": 5.0, ""P60"": 7.0, ""P80"": 9.0, ""P90"": 11.0}",1,
20250902-103831,2025-09-02 10:42:36 +0300,discrete,38880,How many major US labor strikes with generative AI as one of their main reasons will start in 2029?,Gemini,"{""P10"": 2.0, ""P20"": 3.0, ""P40"": 4.0, ""P60"": 5.0, ""P80"": 6.0, ""P90"": 7.0}",1,
